# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 46   Direction: Bardosa   Stops amount: 13   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Os. Piastów 01;Os. Piastów;Bardosa;
2;Piasta Kołodzieja 02;Piasta Kołodzieja;;
3;Kleeberga 02;Kleeberga;;
4;Dunikowskiego 02;Dunikowskiego;;
5;Rondo Hipokratesa 02;Rondo Hipokratesa;;
6;DH Wanda 02;DH Wanda;;
7;Rondo Kocmyrzowskie im. Ks. Gorzelanego 04;Rondo Kocmyrzowskie im. Ks. Gorzelanego;;
8;Os. Zgody 01;Os. Zgody;;
9;Plac Centralny im. R.Reagana 04;Plac Centralny im. R.Reagana;;
10;Os. Na Skarpie 01;Os. Na Skarpie;;
11;Klasztorna 01;Klasztorna;;
12;Suche Stawy 01;Suche Stawy;;
13;Bardosa 92;Bardosa;;koniec_trasy
# Generated at 2026-04-17 16:52
