Lp;Nazwa;Audio;Kierunek;Extras
1;Os. Piastów 01;Os. Piastów;Jarzębiny;
2;Piasta Kołodzieja 02;Piasta Kołodzieja;;
3;Kleeberga 02;Kleeberga;;
4;Dunikowskiego 02;Dunikowskiego;;
5;Rondo Hipokratesa 02;Rondo Hipokratesa;;
6;DH Wanda 02;DH Wanda;;
7;Rondo Kocmyrzowskie im. Ks. Gorzelanego 04;Rondo Kocmyrzowskie im. Ks. Gorzelanego;;
8;Os. Zgody 01;Os. Zgody;;
9;Plac Centralny im. R.Reagana 03;Plac Centralny im. R.Reagana;;
10;Struga 01;Struga;;
11;Zalew Nowohucki 01;Zalew Nowohucki;;
12;Kombinat 01;Kombinat;;
13;Zajezdnia Nowa Huta 02;Zajezdnia Nowa Huta;;
14;Elektromontaż 02;Elektromontaż;;
15;Grodzki Urząd Pracy 02;Grodzki Urząd Pracy;;
16;Darwina 01;Darwina;;
17;Jarzębiny 01;Jarzębiny;;koniec_trasy
